City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
282,Alofi,NU,-19.0595,-169.9187,71.49,94,99,5.75,overcast clouds
283,Port Hedland,AU,-20.3167,118.5667,73.45,83,12,8.05,few clouds
284,Kabinda,CD,-6.1333,24.4833,84.76,49,100,2.01,overcast clouds
285,Belyy Yar,RU,53.6039,91.3903,36.86,86,100,4.47,light rain
286,Kiunga,PG,-6.1219,141.2906,74.89,99,100,3.53,heavy intensity rain
287,Grand Baie,MU,-20.0182,57.5802,74.44,62,3,5.99,clear sky
288,Waingapu,ID,-9.6567,120.2641,81.59,78,100,9.01,overcast clouds
289,San Patricio,US,28.017,-97.5169,75.06,77,3,6.38,clear sky
290,Tungao,PH,8.7772,125.5719,74.34,96,95,1.7,overcast clouds
291,Quatre Cocos,MU,-20.2078,57.7625,74.08,68,32,15.1,scattered clouds
292,Mayaky,UA,47.4408,29.5599,70.63,24,83,6.87,broken clouds
293,Poronaysk,RU,49.2167,143.1167,35.65,75,21,8.37,few clouds
294,Havelock,US,34.8791,-76.9013,67.95,87,0,0.0,clear sky
295,Moyale,KE,3.5167,39.0584,77.32,49,100,11.52,overcast clouds
296,Sanmenxia,CN,34.7747,111.1814,48.97,88,100,2.26,overcast clouds
297,Pitimbu,BR,-7.4706,-34.8086,84.79,70,31,10.65,scattered clouds
298,Brae,GB,60.3964,-1.353,51.3,79,2,33.62,light rain
299,Port Antonio,JM,18.18,-76.4612,84.99,76,55,3.76,broken clouds
300,Juneau,US,58.3019,-134.4197,55.09,100,100,4.61,mist
301,Manggar,ID,-2.8833,108.2667,80.51,79,100,5.01,overcast clouds
302,Osi,HU,47.1472,18.1883,65.86,49,100,6.35,overcast clouds
303,Yerbogachen,RU,61.2767,108.0108,29.95,98,98,3.13,overcast clouds
304,Tabuk,PH,17.4189,121.4443,75.58,90,69,2.53,broken clouds
305,Hambantota,LK,6.1241,81.1185,81.75,72,100,21.68,overcast clouds
306,Hanzhong,CN,33.0728,107.0303,50.9,95,100,1.88,overcast clouds
307,Marawi,PH,7.9986,124.2928,71.13,94,100,0.96,moderate rain
308,Winburg,ZA,-28.518,27.0093,91.54,11,100,20.71,overcast clouds
309,Kenai,US,60.5544,-151.2583,46.15,96,100,3.44,mist
310,Naifaru,MV,5.4444,73.3657,81.72,77,98,18.43,overcast clouds
311,Petrozavodsk,RU,61.7849,34.3469,53.06,87,100,13.42,overcast clouds
312,Kodinsk,RU,58.6881,99.1844,28.62,93,82,2.77,broken clouds
313,Muros,ES,42.7762,-9.0603,77.09,64,4,6.73,clear sky
314,Eydhafushi,MV,5.1033,73.0708,81.63,76,98,18.63,overcast clouds
315,Talakan,RU,50.3167,130.3667,30.7,60,32,2.98,scattered clouds
316,Mezdra,BG,43.15,23.7,67.01,33,100,2.98,overcast clouds
317,Dingle,PH,10.9995,122.6711,77.56,89,100,6.4,overcast clouds
318,Camacha,PT,33.0833,-16.3333,72.82,64,20,16.11,few clouds
319,Auki,SB,-8.7676,160.7034,76.8,88,75,4.14,broken clouds
320,Pandavapura,IN,12.5006,76.6733,75.47,74,100,8.63,overcast clouds
321,Gizo,SB,-8.103,156.8419,82.09,68,100,7.2,overcast clouds
322,Miastko,PL,54.0028,16.9826,61.9,51,0,14.94,clear sky
323,Pevek,RU,69.7008,170.3133,31.66,99,100,18.1,light snow
324,Chico,US,39.7285,-121.8375,69.67,72,0,0.0,clear sky
325,Taltal,CL,-25.4,-70.4833,66.56,44,0,4.09,clear sky
326,Fairbanks,US,64.8378,-147.7164,39.6,87,100,3.44,overcast clouds
327,Imbituba,BR,-28.24,-48.6703,68.86,93,100,10.45,moderate rain
328,Fereydun Kenar,IR,36.6864,52.5225,79.02,73,0,0.0,clear sky
329,Cherskiy,RU,68.75,161.3,26.11,94,100,27.49,light snow
330,Duldurga,RU,50.6761,113.5931,28.69,53,28,1.01,scattered clouds
331,Matagami,CA,49.7502,-77.6328,41.11,93,100,5.75,mist
332,Port Lincoln,AU,-34.7333,135.8667,55.96,84,0,14.32,clear sky
333,Mocajuba,BR,-2.5842,-49.5072,89.71,49,18,5.86,few clouds
334,San Rafael,AR,-34.6177,-68.3301,68.09,19,31,11.95,scattered clouds
335,Luderitz,NA,-26.6481,15.1594,71.02,46,1,32.5,clear sky
336,Mamou,GN,10.5,-12.0,82.42,61,98,3.71,overcast clouds
337,Taperoa,BR,-7.2075,-36.8267,84.24,46,8,14.27,clear sky
